Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000666971271272535,-7.29555080875299E-05,0.113905308565321,0,0,0,1.2708035851133,0.00258373325569534,-1.24891825111536E-07,-3.29247641974664E-07,0.00258737827661269,-4.10689595731813E-08,0.00432432859906659,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/base_link.STL,,Arm Assembly-1/base_link^Arm Assembly-1/Joint 1 bottom plate-1;Arm Assembly-1/base_link^Arm Assembly-1/Base post-1;Arm Assembly-1/base_link^Arm Assembly-1/Base post-2;Arm Assembly-1/base_link^Arm Assembly-1/Base post-3;Arm Assembly-1/base_link^Arm Assembly-1/Base post-4;Arm Assembly-1/base_link^Arm Assembly-1/Base post-5;Arm Assembly-1/base_link^Arm Assembly-1/Base post-6;Arm Assembly-1/base_link^Arm Assembly-1/Base post-7;Arm Assembly-1/base_link^Arm Assembly-1/Joint 1 top plate-1;Arm Assembly-1/base_link^Arm Assembly-1/Tapered-Roller Bearing-1;Arm Assembly-1/base_link^Arm Assembly-1/base Ball Bearing 0.75 in-1;Arm Assembly-1/base_link^Arm Assembly-1/keyed shaft 0.75 in bore 9 in-1;Arm Assembly-1/base_link^Arm Assembly-1/Clamping Two-Piece Shaft Collar 0.75 in-1;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-1;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-2;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-3;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-4;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-5;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-6;Arm Assembly-1/base_link^Arm Assembly-1/socket head cap screw_ai-7,origin_1 <Arm Assembly-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.034888834415896,0.00457926103273413,0.0467069176822636,0,0,0,0.641883793391617,0.0004655414421358,-2.03341730697784E-05,2.92581409367881E-05,0.000626367305091345,3.98087884992212E-06,0.000617296717752839,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_1.STL,,Arm Assembly-1/link_1^Arm Assembly-1/Joint 2 Motor Plate-1;Arm Assembly-1/link_1^Arm Assembly-1/4 mm M6 spacer-1;Arm Assembly-1/link_1^Arm Assembly-1/4 mm M6 spacer-2;Arm Assembly-1/link_1^Arm Assembly-1/4 mm M6 spacer-3;Arm Assembly-1/link_1^Arm Assembly-1/4 mm M6 spacer-4;Arm Assembly-1/link_1^Arm Assembly-1/0.75 in shaft hub-1;Arm Assembly-1/link_1^Arm Assembly-1/Nema Stepper Motor-1,origin_2 <Arm Assembly-1>,Base Axis <Arm Assembly-1>,joint_1,revolute,0,0,0.1567815,0,0,0,base_link,0,0,1,28.35,5.24,-3.142,3.142,,,,,,,,
link_2,0.00118095219354461,0.00619627354362343,0.173905309750878,0,0,0,0.394669414155339,0.00201544139316108,5.89754990715485E-06,-4.81654944922342E-07,0.00197252279377023,-1.04891927473113E-07,0.000146840453333142,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_2.STL,,Arm Assembly-1/link_2^Arm Assembly-1/Link 2-1;Arm Assembly-1/link_2^Arm Assembly-1/Keyed hub-1;Arm Assembly-1/link_2^Arm Assembly-1/Keyed hub-2;Arm Assembly-1/link_2^Arm Assembly-1/Keyed Drive Shaft-1;Arm Assembly-1/link_2^Arm Assembly-1/8020tframeforjoint3-1;Arm Assembly-1/link_2^Arm Assembly-1/8020tframeforjoint3-2;Arm Assembly-1/link_2^Arm Assembly-1/80 kg-1;Arm Assembly-1/link_2^Arm Assembly-1/servobracket_80kg-1;Arm Assembly-1/link_2^Arm Assembly-1/Link 2-2,origin_3 <Arm Assembly-1>,Joint 1 Axis <Arm Assembly-1>,joint_2,revolute,0.000103583713295205,1.30918409286529E-05,0.0737000000000103,0,0,0,link_1,-0.125391445630158,0.992107345685324,0,28.35,5.24,-1.57,1.57,,,,,,,,
link_3,-0.114597786368413,-0.0106809982255397,-0.000135698983013577,0,0,0,0.259256414102,8.82055216027771E-05,-0.000147246406086501,1.91287994955394E-08,0.001234836324825,-5.73284380564296E-08,0.00124877401988058,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_3.STL,,Arm Assembly-1/link_3^Arm Assembly-1/Keyed hub-1;Arm Assembly-1/link_3^Arm Assembly-1/Keyed hub-2;Arm Assembly-1/link_3^Arm Assembly-1/Flanged Bearing-1;Arm Assembly-1/link_3^Arm Assembly-1/Keyed Shaft-1;Arm Assembly-1/link_3^Arm Assembly-1/joint3pulley-1;Arm Assembly-1/link_3^Arm Assembly-1/8020tframeforjoint4-1;Arm Assembly-1/link_3^Arm Assembly-1/25 kg-1;Arm Assembly-1/link_3^Arm Assembly-1/Link 3version2-1;Arm Assembly-1/link_3^Arm Assembly-1/Link 3version2-2;Arm Assembly-1/link_3^Arm Assembly-1/Flanged Bearing-2,origin_4 <Arm Assembly-1>,Joint 2 Axis <Arm Assembly-1>,joint_3,revolute,0,0,0.406399999999993,0,0,0,link_2,0.125391445630158,-0.992107345685324,0,7.85,6.54,-1,3.14,,,,,,,,
link_4,0.000691147483266541,-0.00337681280202291,0.0288646245756418,0,0,0,0.187315441798361,0.000131172951960669,3.82564482216406E-06,4.79993052351881E-09,0.000105908438924271,-1.7259837629421E-08,0.000133438325685805,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_4.STL,,Arm Assembly-1/link_4^Arm Assembly-1/Flanged Bearing-1;Arm Assembly-1/link_4^Arm Assembly-1/Keyed hub-1;Arm Assembly-1/link_4^Arm Assembly-1/Keyed hub-2;Arm Assembly-1/link_4^Arm Assembly-1/Keyed Shaft-1;Arm Assembly-1/link_4^Arm Assembly-1/joint3pulley-1;Arm Assembly-1/link_4^Arm Assembly-1/25 kg-1;Arm Assembly-1/link_4^Arm Assembly-1/Link 4-1;Arm Assembly-1/link_4^Arm Assembly-1/Joint 5 motor bracket-1;Arm Assembly-1/link_4^Arm Assembly-1/8 mm bearing-1;Arm Assembly-1/link_4^Arm Assembly-1/Flanged Bearing-2,origin_5 <Arm Assembly-1>,Joint 3 Axis <Arm Assembly-1>,joint_4,revolute,-0.348413326699186,-0.0397177166403455,0,0,0,0,link_3,-0.125391445630158,0.992107345685324,0,2.45,8.08,-3.14,0,,,,,,,,
link_5,0.000874359843792194,0.00141941965863369,0.0362558121484203,0,0,0,0.183111513613456,7.20335904875415E-05,-2.39227064025502E-06,-2.70667515266449E-07,9.2638054510423E-05,-3.10111909846067E-08,0.000144655222094407,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/link_5.STL,,"Arm Assembly-1/link_5^Arm Assembly-1/Joint 5, 8 mm clamping hub-1;Arm Assembly-1/link_5^Arm Assembly-1/Joint 5, 8 mm clamping hub-1/1910-0025-0816.STEP-1/1910-0025-0816.STEP-1;Arm Assembly-1/link_5^Arm Assembly-1/Joint 5, 8 mm clamping hub-1/1910-0025-0816.STEP-1/2800-0003-0012.STEP-1;hand_updated-1/hand_to_arm_connector-1;hand_updated-1/palm_subasm_rev2-1/palm_top_plate_QZ_rev2-1;hand_updated-1/palm_subasm_rev2-1/palm_standoff_40_4_91115A155_rev2-1;hand_updated-1/palm_subasm_rev2-1/screw_4_40x3_8_91253A108_rev2-2;hand_updated-1/finger_subasm_pulley_rev2-1/finger-base-module^finger_subasm_pulley_rev2-1/finger_base__rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-base-module^finger_subasm_pulley_rev2-1/finger_base_extend_rev2-1;hand_updated-1/thumb_subasm_rev2-1/thumb-base-subasm^thumb_subasm_rev2-1/thumb_base_rev2-1;hand_updated-1/palm_subasm_rev2-1/XL,XC-330.stp-1/DC15_A01_CASE_M_DUMMY.stp-1;hand_updated-1/mir-finger_subasm_pulley_rev21-2/mir-finger-base-module^mir-finger_subasm_pulley_rev21-1/mir-finger_base_extend_rev2-1;hand_updated-1/mir-finger_subasm_pulley_rev21-2/mir-finger-base-module^mir-finger_subasm_pulley_rev21-1/mir-finger_base_unlinked__rev2-1;hand_updated-1/palm_subasm_rev2-1/palm_standoff_40_4_91115A155_rev2-3;hand_updated-1/palm_subasm_rev2-1/screw_4_40x3_8_91253A108_rev2-1;hand_updated-1/palm_subasm_rev2-1/palm_base_rev2-1;hand_updated-1/palm_subasm_rev2-1/XL,XC-330.stp-1/DC15_A01_CASE_B_DUMMY.stp-1",origin_6 <Arm Assembly-1>,EE Mount Axis <Arm Assembly-1>,joint_5,revolute,0,0,0.0771975122568782,0,0,0,link_4,0,0,-1,2.45,8.08,-3.14,3.14,,,,,,,,
ee_thumb_prox,-0.000363742372263904,-0.0136623441316669,0.0124786350606811,0,0,0,0.0140616051661292,2.66037470712265E-06,-4.61561205563586E-08,3.91772433458902E-08,1.37750923910108E-06,8.22644622578878E-07,1.61529675721767E-06,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_thumb_prox.STL,1,1,1,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_thumb_prox.STL,,hand_updated-1/thumb_subasm_rev2-1/finger_prox_link_rev2-1;hand_updated-1/thumb_subasm_rev2-1/thumb-prox-subasm^thumb_subasm_rev2-1;hand_updated-1/thumb_subasm_rev2-1/finger_prox_spring_LTL028E08S316_rev2-1;hand_updated-1/thumb_subasm_rev2-1/91292A034_18-8 Stainless Steel Socket Head Screw_rev2-2;hand_updated-1/thumb_subasm_rev2-1/nut_M2_90591A265_rev2-1,thumb_prox_origin <hand_updated-1>,thumb_prox_axis <hand_updated-1>,ee_thumb_prox_joint,revolute,0.0445832051781762,0.00629188493532656,0.0804249999999981,0,0,1.67767623706565,link_5,1,0,0,2.45,8.08,0,1.57,,,,,,,,
ee_thumb_dist,0.000134086297196551,-0.0140583627087864,0.0129641598374539,0,0,0,0.0116864486254284,1.11556815353773E-06,5.03779605662189E-09,-2.74459580085022E-09,8.01046236275627E-07,8.74699174215593E-08,8.0470227822987E-07,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_thumb_dist.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_thumb_dist.STL,,hand_updated-1/thumb_subasm_rev2-1/thumb-tip-subasm^thumb_subasm_rev2-1/thumb_dist_rubber_rev2-1;hand_updated-1/thumb_subasm_rev2-1/thumb-tip-subasm^thumb_subasm_rev2-1/thumb_fingertip_rev2-1;hand_updated-1/thumb_subasm_rev2-1/finger_dist_link_rev2-1;hand_updated-1/thumb_subasm_rev2-1/91292A032_18-8 Stainless Steel Socket Head Screw_rev2-1;hand_updated-1/thumb_subasm_rev2-1/nut_M2_90591A265_rev2-2,thumb_dist_origin <hand_updated-1>,thumb_dist_axis <hand_updated-1>,ee_thumb_dist_joint,revolute,0,-0.035355339059327,0.0353553390593278,0,0,0,ee_thumb_prox,1,0,0,2.45,8.08,0,1.57,,,,,,,,
ee_finger1_roll,-0.0029392956456501,0.00119368792948032,0.0272243186672859,0,0,0,0.0130633836142709,1.31828181335824E-06,2.4019349157918E-07,2.0393991243487E-07,1.66384018577043E-06,-8.1177974456026E-08,1.88852300273138E-06,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_finger1_roll.STL,1,1,1,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_finger1_roll.STL,,hand_updated-1/finger_subasm_pulley_rev2-1/finger_roll_base_assem_rev2-1/finger_roll_base_leftwing_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger_roll_base_assem_rev2-1/finger_roll_base_rightwing_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger_roll_base_assem_rev2-1/finger_roll_base_rev2-1,finger1_roll_origin <hand_updated-1>,finger1_roll_axis <hand_updated-1>,ee_finger1_roll_joint,revolute,-0.0220304161455278,-0.0290156985863783,0.039424999999998,0,0,1.67767623706565,link_5,0,0,-1,2.45,8.08,-3.14,3.14,,,,,,,,
ee_finger1_prox,-0.0102315797866675,0.0100635175442056,0.0127330248670721,0,0,0,0.0145193149160156,2.04972506692644E-06,6.35126748062643E-07,5.67345621198387E-07,2.00432470838948E-06,-5.98929957280732E-07,1.62898222358511E-06,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_finger1_prox.STL,1,1,1,1,0,0,0,0,0,0,package://full_robot_arm_urdf/meshes/ee_finger1_prox.STL,,hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_prox_link_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_joint_bearing_7804K104_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_prox_bushing_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_prox_pulley_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_prox_rubber_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_joint_bearing_7804K104_rev2-2;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_joint_bearing_7804K104_rev2-3;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/91292A034_18-8 Stainless Steel Socket Head Screw_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/screw_M2X16_91292A002_rev2-1;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/nut_M2_90591A265_rev2-2;hand_updated-1/finger_subasm_pulley_rev2-1/finger-prox-module^finger_subasm_pulley_rev2-1/finger_prox_spring_LTL028E08S316_rev2-1,finger1_prox_origin <hand_updated-1>,finger1_prox_axis <hand_updated-1>,ee_finger1_prox_joint,revolute,0,0,0.0430000000000001,0,0,0,ee_finger1_roll,-0.693726536855436,-0.720238496654104,0,2.45,8.08,0,1.57,,,,,,,,
